gameID,teamID,season,date,location,shots,shotsOnTarget,result
177,77,2015,25/10/2015 16:00,h,9,3,W
177,86,2015,25/10/2015 16:00,a,21,8,L
178,73,2015,25/10/2015 18:05,h,11,3,L
178,82,2015,25/10/2015 18:05,a,14,9,W
179,89,2015,25/10/2015 18:05,h,6,1,D
179,88,2015,25/10/2015 18:05,a,6,1,D
180,87,2015,25/10/2015 20:15,h,15,2,D
180,74,2015,25/10/2015 20:15,a,8,3,D
181,80,2015,31/10/2015 16:45,h,8,2,L
181,87,2015,31/10/2015 16:45,a,16,7,W
182,78,2015,31/10/2015 19:00,h,10,5,D
182,89,2015,31/10/2015 19:00,a,5,1,D
183,88,2015,31/10/2015 19:00,h,21,5,W
183,79,2015,31/10/2015 19:00,a,5,3,L
184,86,2015,31/10/2015 19:00,h,15,6,D
184,85,2015,31/10/2015 19:00,a,9,2,D
185,84,2015,31/10/2015 19:00,h,7,3,L
185,83,2015,31/10/2015 19:00,a,14,5,W
186,90,2015,31/10/2015 19:00,h,20,5,W
186,81,2015,31/10/2015 19:00,a,8,3,L
187,76,2015,31/10/2015 19:00,h,14,6,L
187,75,2015,31/10/2015 19:00,a,13,5,W
188,72,2015,1/11/2015 17:30,h,15,8,W
188,77,2015,1/11/2015 17:30,a,17,9,L
189,74,2015,1/11/2015 20:00,h,11,2,W
189,73,2015,1/11/2015 20:00,a,16,2,L
190,82,2015,3/11/2015 0:00,h,17,6,W
190,71,2015,3/11/2015 0:00,a,13,2,L
191,73,2015,7/11/2015 16:45,h,20,5,L
191,86,2015,7/11/2015 16:45,a,2,1,W
192,75,2015,7/11/2015 19:00,h,12,6,W
192,90,2015,7/11/2015 19:00,a,8,4,L
193,89,2015,7/11/2015 19:00,h,13,3,W
193,76,2015,7/11/2015 19:00,a,4,0,L
194,79,2015,7/11/2015 19:00,h,9,5,W
194,84,2015,7/11/2015 19:00,a,8,0,L
195,81,2015,7/11/2015 19:00,h,16,5,D
195,72,2015,7/11/2015 19:00,a,13,4,D
196,77,2015,7/11/2015 19:00,h,9,3,L
196,74,2015,7/11/2015 19:00,a,14,5,W
197,85,2015,7/11/2015 21:30,h,8,2,W
197,80,2015,7/11/2015 21:30,a,19,4,L
198,71,2015,8/11/2015 17:30,h,3,0,D
198,88,2015,8/11/2015 17:30,a,13,3,D
199,83,2015,8/11/2015 20:00,h,10,4,D
199,82,2015,8/11/2015 20:00,a,14,4,D
200,87,2015,8/11/2015 20:00,h,22,4,L
200,78,2015,8/11/2015 20:00,a,9,4,W
201,90,2015,21/11/2015 16:45,h,10,5,L
201,89,2015,21/11/2015 16:45,a,13,6,W
202,84,2015,21/11/2015 19:00,h,11,4,D
202,73,2015,21/11/2015 19:00,a,16,4,D
203,74,2015,21/11/2015 19:00,h,15,1,L
203,85,2015,21/11/2015 19:00,a,16,4,W
204,76,2015,21/11/2015 19:00,h,4,1,W
204,83,2015,21/11/2015 19:00,a,11,3,L
205,86,2015,21/11/2015 19:00,h,9,1,L
205,75,2015,21/11/2015 19:00,a,18,7,W
206,72,2015,21/11/2015 19:00,h,16,9,W
206,71,2015,21/11/2015 19:00,a,10,3,L
207,80,2015,21/11/2015 19:00,h,21,7,W
207,79,2015,21/11/2015 19:00,a,4,2,L
208,88,2015,21/11/2015 21:30,h,11,3,L
208,87,2015,21/11/2015 21:30,a,14,9,W
209,82,2015,22/11/2015 20:00,h,22,12,W
209,81,2015,22/11/2015 20:00,a,10,4,L
210,78,2015,24/11/2015 0:00,h,19,7,L
210,77,2015,24/11/2015 0:00,a,12,4,W
211,77,2015,28/11/2015 19:00,h,18,5,W
211,85,2015,28/11/2015 19:00,a,7,3,L
212,71,2015,28/11/2015 19:00,h,12,6,L
212,90,2015,28/11/2015 19:00,a,14,6,W
213,73,2015,28/11/2015 19:00,h,19,10,D
213,72,2015,28/11/2015 19:00,a,11,6,D
214,78,2015,28/11/2015 19:00,h,19,8,W
214,86,2015,28/11/2015 19:00,a,7,2,L
215,88,2015,28/11/2015 19:00,h,16,9,W
215,74,2015,28/11/2015 19:00,a,12,8,L
216,75,2015,28/11/2015 21:30,h,7,3,D
216,89,2015,28/11/2015 21:30,a,10,2,D
217,82,2015,29/11/2015 16:00,h,9,4,D
217,80,2015,29/11/2015 16:00,a,5,1,D
218,81,2015,29/11/2015 18:05,h,17,6,D
218,76,2015,29/11/2015 18:05,a,7,3,D
219,87,2015,29/11/2015 20:15,h,10,2,W
219,84,2015,29/11/2015 20:15,a,9,0,L
220,79,2015,29/11/2015 20:15,h,7,2,D
220,83,2015,29/11/2015 20:15,a,12,3,D
221,85,2015,5/12/2015 16:45,h,7,4,W
221,88,2015,5/12/2015 16:45,a,11,4,L
222,84,2015,5/12/2015 19:00,h,10,2,L
222,75,2015,5/12/2015 19:00,a,16,5,W
223,90,2015,5/12/2015 19:00,h,14,7,W
223,79,2015,5/12/2015 19:00,a,7,1,L
224,76,2015,5/12/2015 19:00,h,11,4,D
224,82,2015,5/12/2015 19:00,a,9,3,D
225,83,2015,5/12/2015 19:00,h,16,7,W
225,77,2015,5/12/2015 19:00,a,11,4,L
226,89,2015,5/12/2015 19:00,h,21,1,D
226,81,2015,5/12/2015 19:00,a,9,2,D
227,74,2015,5/12/2015 19:00,h,23,5,D
227,71,2015,5/12/2015 19:00,a,9,2,D
228,80,2015,5/12/2015 21:30,h,19,6,L
228,73,2015,5/12/2015 21:30,a,15,5,W
229,86,2015,6/12/2015 20:00,h,6,1,W
229,87,2015,6/12/2015 20:00,a,10,1,L
230,72,2015,8/12/2015 0:00,h,19,4,D
230,78,2015,8/12/2015 0:00,a,14,5,D
231,79,2015,12/12/2015 16:45,h,9,2,D
231,72,2015,12/12/2015 16:45,a,15,3,D
232,88,2015,12/12/2015 19:00,h,13,5,W
232,84,2015,12/12/2015 19:00,a,13,7,L
233,77,2015,12/12/2015 19:00,h,14,2,L
233,90,2015,12/12/2015 19:00,a,13,8,W
234,78,2015,12/12/2015 19:00,h,12,5,W
234,74,2015,12/12/2015 19:00,a,15,3,L
235,81,2015,12/12/2015 19:00,h,24,10,D
235,85,2015,12/12/2015 19:00,a,12,3,D
236,73,2015,12/12/2015 21:30,h,11,5,W
236,89,2015,12/12/2015 21:30,a,11,5,L
237,71,2015,13/12/2015 17:30,h,18,2,L
237,83,2015,13/12/2015 17:30,a,8,4,W
238,87,2015,13/12/2015 20:00,h,28,8,D
238,76,2015,13/12/2015 20:00,a,4,2,D
239,82,2015,13/12/2015 20:00,h,20,8,L
239,86,2015,13/12/2015 20:00,a,8,4,W
240,75,2015,15/12/2015 0:00,h,9,5,W
240,80,2015,15/12/2015 0:00,a,11,4,L
241,76,2015,19/12/2015 19:00,h,7,2,L
241,73,2015,19/12/2015 19:00,a,16,6,W
242,74,2015,19/12/2015 19:00,h,11,4,L
242,82,2015,19/12/2015 19:00,a,12,5,W
243,85,2015,19/12/2015 19:00,h,26,5,L
243,78,2015,19/12/2015 19:00,a,12,3,W
244,80,2015,19/12/2015 19:00,h,17,7,W
244,77,2015,19/12/2015 19:00,a,11,3,L
245,72,2015,19/12/2015 19:00,h,13,5,L
245,75,2015,19/12/2015 19:00,a,10,5,W
246,89,2015,19/12/2015 19:00,h,11,2,L
246,79,2015,19/12/2015 19:00,a,6,4,W
247,86,2015,19/12/2015 21:30,h,8,4,D
247,71,2015,19/12/2015 21:30,a,10,7,D
248,90,2015,20/12/2015 17:30,h,6,5,W
248,87,2015,20/12/2015 17:30,a,12,4,L
249,84,2015,20/12/2015 20:00,h,22,2,D
249,81,2015,20/12/2015 20:00,a,11,2,D
250,83,2015,22/12/2015 0:00,h,8,5,W
250,88,2015,22/12/2015 0:00,a,20,6,L
251,85,2015,26/12/2015 16:45,h,13,3,W
251,89,2015,26/12/2015 16:45,a,11,6,L
252,84,2015,26/12/2015 19:00,h,7,2,W
252,76,2015,26/12/2015 19:00,a,9,3,L
253,82,2015,26/12/2015 19:00,h,15,10,W
253,79,2015,26/12/2015 19:00,a,11,3,L
254,71,2015,26/12/2015 19:00,h,15,8,D
254,81,2015,26/12/2015 19:00,a,10,4,D
255,73,2015,26/12/2015 19:00,h,10,4,D
255,78,2015,26/12/2015 19:00,a,8,1,D
256,80,2015,26/12/2015 19:00,h,17,2,D
256,90,2015,26/12/2015 19:00,a,12,2,D
257,87,2015,26/12/2015 19:00,h,26,5,W
257,75,2015,26/12/2015 19:00,a,7,3,L
258,88,2015,26/12/2015 19:00,h,19,9,W
258,77,2015,26/12/2015 19:00,a,11,3,L
259,86,2015,26/12/2015 21:30,h,10,1,L
259,72,2015,26/12/2015 21:30,a,20,7,W
260,74,2015,26/12/2015 23:45,h,14,5,W
260,83,2015,26/12/2015 23:45,a,8,5,L
261,76,2015,28/12/2015 19:00,h,22,5,W
261,86,2015,28/12/2015 19:00,a,7,2,L
262,90,2015,28/12/2015 19:00,h,9,1,L
262,82,2015,28/12/2015 19:00,a,10,3,W
263,79,2015,28/12/2015 19:00,h,9,4,W
263,71,2015,28/12/2015 19:00,a,6,3,L
264,78,2015,28/12/2015 19:00,h,10,2,D
264,84,2015,28/12/2015 19:00,a,5,3,D
265,72,2015,28/12/2015 19:00,h,15,3,L
265,85,2015,28/12/2015 19:00,a,8,5,W
266,83,2015,28/12/2015 21:30,h,13,6,W
266,73,2015,28/12/2015 21:30,a,10,3,L
267,89,2015,28/12/2015 21:30,h,12,2,D
267,80,2015,28/12/2015 21:30,a,8,3,D
268,81,2015,28/12/2015 21:30,h,13,5,W
268,74,2015,28/12/2015 21:30,a,14,3,L
269,75,2015,29/12/2015 23:45,h,11,4,D
269,88,2015,29/12/2015 23:45,a,21,5,D
270,77,2015,30/12/2015 23:45,h,8,3,L
270,87,2015,30/12/2015 23:45,a,17,6,W
271,81,2015,2/1/2016 16:45,h,18,10,W
271,87,2015,2/1/2016 16:45,a,23,2,L
272,76,2015,2/1/2016 19:00,h,17,5,W
272,85,2015,2/1/2016 19:00,a,10,3,L
273,83,2015,2/1/2016 19:00,h,15,3,W
273,86,2015,2/1/2016 19:00,a,15,6,L
274,75,2015,2/1/2016 19:00,h,16,2,D
274,73,2015,2/1/2016 19:00,a,9,0,D
275,89,2015,2/1/2016 19:00,h,19,6,W
275,84,2015,2/1/2016 19:00,a,9,4,L
276,79,2015,2/1/2016 19:00,h,10,1,W
276,74,2015,2/1/2016 19:00,a,10,4,L
277,77,2015,2/1/2016 19:00,h,13,5,W
277,71,2015,2/1/2016 19:00,a,8,3,L
278,90,2015,2/1/2016 21:30,h,12,4,L
278,88,2015,2/1/2016 21:30,a,16,5,W
279,78,2015,3/1/2016 17:30,h,8,4,L
279,80,2015,3/1/2016 17:30,a,10,4,W
280,72,2015,3/1/2016 20:00,h,12,3,D
280,82,2015,3/1/2016 20:00,a,19,4,D
281,86,2015,12/1/2016 23:45,h,14,6,D
281,89,2015,12/1/2016 23:45,a,12,4,D
282,71,2015,12/1/2016 23:45,h,13,3,W
282,78,2015,12/1/2016 23:45,a,9,1,L
283,73,2015,12/1/2016 23:45,h,11,4,L
283,81,2015,12/1/2016 23:45,a,10,5,W
284,74,2015,13/1/2016 23:45,h,15,7,W
284,90,2015,13/1/2016 23:45,a,4,1,L
285,85,2015,13/1/2016 23:45,h,14,4,W
285,79,2015,13/1/2016 23:45,a,5,2,L
286,84,2015,13/1/2016 23:45,h,10,5,L
286,77,2015,13/1/2016 23:45,a,7,4,W
287,80,2015,13/1/2016 23:45,h,14,2,D
287,76,2015,13/1/2016 23:45,a,13,5,D
288,88,2015,13/1/2016 23:45,h,22,5,D
288,72,2015,13/1/2016 23:45,a,7,2,D
289,87,2015,14/1/2016 0:00,h,22,6,D
289,83,2015,14/1/2016 0:00,a,14,5,D
290,82,2015,14/1/2016 0:00,h,21,5,L
290,75,2015,14/1/2016 0:00,a,10,2,W
291,82,2015,16/1/2016 16:45,h,26,11,W
291,77,2015,16/1/2016 16:45,a,5,2,L
292,88,2015,16/1/2016 19:00,h,17,4,W
292,78,2015,16/1/2016 19:00,a,9,3,L
293,86,2015,16/1/2016 19:00,h,23,10,W
293,81,2015,16/1/2016 19:00,a,10,3,L
294,74,2015,16/1/2016 19:00,h,9,5,W
294,76,2015,16/1/2016 19:00,a,10,0,L
295,80,2015,16/1/2016 19:00,h,14,7,D
295,72,2015,16/1/2016 19:00,a,9,4,D
296,73,2015,16/1/2016 19:00,h,15,7,W
296,79,2015,16/1/2016 19:00,a,10,3,L
297,71,2015,16/1/2016 21:30,h,14,5,D
297,75,2015,16/1/2016 21:30,a,12,5,D
298,87,2015,17/1/2016 18:05,h,19,4,L
298,89,2015,17/1/2016 18:05,a,7,1,W
299,85,2015,17/1/2016 20:15,h,14,6,D
299,83,2015,17/1/2016 20:15,a,8,3,D
300,84,2015,19/1/2016 0:00,h,10,2,W
300,90,2015,19/1/2016 0:00,a,13,2,L
301,79,2015,23/1/2016 16:45,h,6,5,L
301,87,2015,23/1/2016 16:45,a,13,7,W
302,78,2015,23/1/2016 19:00,h,11,3,L
302,82,2015,23/1/2016 19:00,a,24,11,W
303,89,2015,23/1/2016 19:00,h,8,1,L
303,74,2015,23/1/2016 19:00,a,7,2,W
304,75,2015,23/1/2016 19:00,h,15,5,W
304,85,2015,23/1/2016 19:00,a,3,2,L
305,76,2015,23/1/2016 19:00,h,4,0,D
305,71,2015,23/1/2016 19:00,a,15,4,D
306,77,2015,23/1/2016 19:00,h,10,5,D
306,73,2015,23/1/2016 19:00,a,15,5,D
307,90,2015,23/1/2016 19:00,h,13,5,W
307,86,2015,23/1/2016 19:00,a,11,2,L
308,81,2015,23/1/2016 21:30,h,10,3,D
308,88,2015,23/1/2016 21:30,a,16,3,D
309,72,2015,24/1/2016 17:30,h,20,2,L
309,84,2015,24/1/2016 17:30,a,7,5,W
310,83,2015,24/1/2016 20:00,h,9,1,L
310,80,2015,24/1/2016 20:00,a,12,6,W
311,83,2015,2/2/2016 23:45,h,22,11,D
311,74,2015,2/2/2016 23:45,a,14,3,D
312,75,2015,2/2/2016 23:45,h,13,6,W
312,87,2015,2/2/2016 23:45,a,14,1,L
313,79,2015,2/2/2016 23:45,h,11,3,L
313,82,2015,2/2/2016 23:45,a,17,6,W
314,77,2015,2/2/2016 23:45,h,11,3,L
314,88,2015,2/2/2016 23:45,a,7,2,W
315,81,2015,2/2/2016 23:45,h,25,6,W
315,71,2015,2/2/2016 23:45,a,5,2,L
316,78,2015,3/2/2016 0:00,h,14,3,L
316,73,2015,3/2/2016 0:00,a,8,4,W
317,89,2015,3/2/2016 0:00,h,15,5,W
317,85,2015,3/2/2016 0:00,a,10,0,L
318,76,2015,3/2/2016 0:00,h,17,7,D
318,84,2015,3/2/2016 0:00,a,18,4,D
319,72,2015,3/2/2016 23:45,h,18,7,W
319,86,2015,3/2/2016 23:45,a,7,3,L
320,90,2015,3/2/2016 23:45,h,12,3,D
320,80,2015,3/2/2016 23:45,a,12,4,D
321,88,2015,6/2/2016 16:45,h,22,4,L
321,75,2015,6/2/2016 16:45,a,14,7,W
322,86,2015,6/2/2016 19:00,h,19,7,W
322,76,2015,6/2/2016 19:00,a,7,0,L
323,85,2015,6/2/2016 19:00,h,12,3,L
323,72,2015,6/2/2016 19:00,a,14,6,W
324,82,2015,6/2/2016 19:00,h,25,8,W
324,90,2015,6/2/2016 19:00,a,3,0,L
325,84,2015,6/2/2016 19:00,h,18,3,D
325,78,2015,6/2/2016 19:00,a,12,2,D
326,71,2015,6/2/2016 19:00,h,10,2,W
326,79,2015,6/2/2016 19:00,a,13,5,L
327,87,2015,6/2/2016 19:00,h,16,5,D
327,77,2015,6/2/2016 19:00,a,7,2,D
328,74,2015,6/2/2016 21:30,h,8,2,W
328,81,2015,6/2/2016 21:30,a,18,2,L
329,73,2015,7/2/2016 17:30,h,17,4,L
329,83,2015,7/2/2016 17:30,a,10,5,W
330,80,2015,7/2/2016 20:00,h,16,5,D
330,89,2015,7/2/2016 20:00,a,17,7,D
331,77,2015,13/2/2016 16:45,h,21,5,W
331,89,2015,13/2/2016 16:45,a,12,6,L
332,84,2015,13/2/2016 19:00,h,13,2,L
332,74,2015,13/2/2016 19:00,a,14,5,W
333,79,2015,13/2/2016 19:00,h,13,3,D
333,81,2015,13/2/2016 19:00,a,11,6,D
334,72,2015,13/2/2016 19:00,h,33,6,L
334,76,2015,13/2/2016 19:00,a,5,1,W
335,78,2015,13/2/2016 19:00,h,15,5,L
335,90,2015,13/2/2016 19:00,a,10,4,W
336,73,2015,13/2/2016 19:00,h,11,2,L
336,85,2015,13/2/2016 19:00,a,11,6,W
337,80,2015,13/2/2016 21:30,h,14,7,W
337,86,2015,13/2/2016 21:30,a,10,3,L
338,83,2015,14/2/2016 16:00,h,24,6,W
338,75,2015,14/2/2016 16:00,a,7,3,L
339,71,2015,14/2/2016 18:05,h,6,1,L
339,87,2015,14/2/2016 18:05,a,11,9,W
340,88,2015,14/2/2016 20:15,h,19,4,L
340,82,2015,14/2/2016 20:15,a,6,3,W
341,81,2015,27/2/2016 16:45,h,9,3,W
341,77,2015,27/2/2016 16:45,a,13,4,L
342,90,2015,27/2/2016 19:00,h,14,1,D
342,73,2015,27/2/2016 19:00,a,11,3,D
343,75,2015,27/2/2016 19:00,h,13,3,W
343,79,2015,27/2/2016 19:00,a,9,1,L
344,74,2015,27/2/2016 19:00,h,7,2,L
344,80,2015,27/2/2016 19:00,a,16,4,W
345,85,2015,27/2/2016 19:00,h,11,3,W
345,71,2015,27/2/2016 19:00,a,5,1,L
346,76,2015,27/2/2016 21:30,h,11,5,W
346,78,2015,27/2/2016 21:30,a,15,2,L
347,82,2015,28/2/2016 18:05,h,34,15,W
347,84,2015,28/2/2016 18:05,a,10,4,L
348,89,2015,28/2/2016 18:05,h,7,5,W
